grid,velocity,spread_rate,lambda,T,D,X_N2,X_AR,X_O,X_O2,X_H2,X_H,X_OH,X_H2O2,X_H2O,X_HO2,X_HCO,X_CH2,X_CO,X_CH2O,X_CO2,X_CH3,X_CH4,X_C2H4,X_CH3OH,X_C2H5,X_C2H6,X_CH3O,X_HOCHO,X_CH3O2,X_CH3O2H,X_C2H2,X_CH2CO,X_C3H4XA,X_C3H4XP,X_C3H5XA,X_C2H3,X_CH3CHO,X_C2H5O2,X_C3H3,X_C3H6,X_C2H3CHO,X_CH3COCH2,X_NXC3H7,X_C3H8,X_CH3COCH3,X_IXC3H7O2,X_NXC3H7O2,X_C4H6,X_C4H8X1,X_IXC4H7,X_IXC4H8,X_IXC3H5CHO,X_IXC3H6CO,X_IXC4H10,X_C4H10,X_IXC3H5CO,X_IXC4H7OH,X_IXC4H9O2,X_TXC4H9O2,X_PXC4H9O2,X_C5H9,X_IXC5H9,X_AXC5H10,X_C5H10X1,X_C6H11,X_C6H12X1,X_YXC7H14,X_NXC7H16,X_IXC8H18,X_CH,X_CH2GSG,X_CH2OH,X_HOCH2O,X_C2H,X_HCCO,X_CH2CHO,X_C2H5O,X_C2H3O1X2,X_CH3CO,X_C3H2,X_C3H5O,X_C3H5XT,X_IXC3H7,X_C2H3CO,X_CH2CCH2OH,X_C4H7,X_C4H7O,X_IXC4H7O,X_IXC4H9,X_PXC4H9,X_TXC4H9,X_TXC4H9O,X_IXC4H6OH,X_C4H8OOH1X3,X_IC4H8O2HXT,X_TC4H8O2HXI,X_NEOXC5H11,X_C5H11X1,X_C6H13X1,X_XXC7H13,X_XC7H13OXZ,X_C7H15X2,X_YXC7H15,X_CXC8H17,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_C
0,0.889312816,-1.43877448e-19,-34543.019,300,4.00354064,0.181818182,9.64896773e-17,-6.80654564e-16,5.83271606e-16,8.3386504e-15,-9.92289203e-17,1.45006995e-20,-8.84831826e-17,-3.26187213e-16,1.34634222e-15,-3.30756595e-19,-4.9655983e-17,-2.51886074e-15,-2.24923886e-15,1.71312671e-15,-3.66136759e-17,-9.95672566e-17,7.20620776e-16,-3.50437661e-16,2.49816037e-15,-3.96167547e-15,-3.52927822e-25,4.65095315e-16,1.10273452e-19,-1.67979113e-16,-2.23316046e-15,7.06241142e-18,-1.376207e-15,-4.10227825e-16,9.09660444e-16,-1.08602195e-16,-1.1935534e-15,2.41191925e-17,-5.41003037e-16,-1.31396425e-15,3.9475261e-17,8.90492382e-19,8.55476203e-16,-8.93689222e-17,6.3413797e-17,-7.70404594e-17,-1.97291636e-18,8.54248312e-16,9.0938126e-17,-1.94793828e-15,2.54103454e-17,-1.3145063e-15,-8.77017788e-19,-1.0684851e-23,7.04944431e-16,-3.30910718e-19,9.07737125e-16,-2.06630423e-18,-1.61659781e-20,1.41261637e-19,-5.45786072e-16,2.87174505e-16,6.93877505e-17,-1.06186136e-15,1.66215542e-17,-2.1519307e-16,5.03053388e-20,-3.81559869e-19,0.818181818,-6.39812263e-15,7.91448709e-25,6.00947473e-16,2.73975342e-17,2.32058329e-15,1.33686227e-16,-4.24546272e-19,1.8830732e-16,-1.81567304e-42,-1.00388498e-15,4.07155168e-15,-6.3311686e-19,-4.73173631e-18,3.61184687e-16,-2.21794856e-17,9.12932366e-17,1.32064252e-16,2.5445736e-17,1.49787674e-18,1.3905314e-18,-3.40209725e-16,4.6970457e-16,9.33080799e-26,7.05389484e-17,3.22254473e-30,-1.67449458e-16,-7.34179987e-20,-5.49643553e-19,-4.9056143e-20,3.19140003e-22,3.60107017e-16,9.88838431e-27,1.82354455e-23,-1.64166311e-16,7.34901438e-16,5.34062611e-15,9.63549657e-16,-5.3949431e-15,1.8771521e-15,1.97476447e-27,-4.80406782e-16,1.41194282e-17,8.58580009e-16,7.35006783e-15,1.34719298e-15,3.43144343e-23,3.70203823e-16,-1.29753574e-16,-3.27653433e-17,9.55388828e-19,-1.71564533e-23,-1.52738496e-22,-4.2244631e-15
0.000425531915,0.887556002,4.12851281,-34543.019,300,4.00354064,0.181818182,9.64896771e-17,-6.82351155e-19,5.67610476e-16,1.35974799e-13,3.09492773e-15,-3.28934918e-20,-1.04143353e-16,-1.01420349e-15,1.37749557e-15,-3.30772595e-19,1.63474352e-15,-2.51977993e-15,-2.24922579e-15,1.71312671e-15,-1.64790073e-15,-1.74177386e-16,7.20620786e-16,-3.50437766e-16,2.49816204e-15,-3.96167719e-15,-2.68410425e-23,4.76059344e-16,1.10491226e-19,-1.67979112e-16,-1.42453653e-13,7.07738366e-18,-1.37816036e-15,-4.10227204e-16,9.13567085e-16,-1.08464097e-16,-1.19341487e-15,2.41191901e-17,-5.41003053e-16,-1.31639827e-15,3.96133632e-17,8.90492382e-19,8.55476185e-16,-8.93689187e-17,6.34138035e-17,-7.70404642e-17,-1.97291574e-18,8.5424831e-16,9.09381215e-17,-1.94793808e-15,2.52425866e-17,-1.3145063e-15,-8.77017785e-19,-9.28369747e-22,7.04944459e-16,-3.30910694e-19,9.07737124e-16,-2.51605733e-18,-1.64969259e-20,1.41261207e-19,-5.45786072e-16,2.87174505e-16,6.93877477e-17,-1.06186135e-15,1.66215542e-17,-2.15193066e-16,5.03148855e-20,-3.81559868e-19,0.818181818,-1.39863935e-18,3.44526473e-23,6.00947476e-16,1.64284412e-17,1.42500878e-13,1.33686277e-16,-4.24546272e-19,1.88293954e-16,-1.66314941e-40,-1.00298073e-15,4.07155166e-15,-6.33071567e-19,-4.73173623e-18,3.61184686e-16,-2.21794855e-17,9.12932377e-17,1.32064252e-16,2.51695383e-17,1.49724321e-18,1.39356399e-18,-3.40209727e-16,4.69221906e-16,1.31441554e-23,7.05393807e-17,4.80005877e-28,-1.66831817e-16,-7.30718626e-20,-5.49643546e-19,-4.90561408e-20,3.19148466e-22,3.60107014e-16,1.94645271e-24,1.82354464e-23,-1.63685648e-16,1.39395582e-13,5.3406257e-15,9.63549599e-16,-5.39494303e-15,1.87715213e-15,1.00349744e-25,-4.80406738e-16,1.41194267e-17,8.58580005e-16,7.35006785e-15,1.34719279e-15,-5.75205103e-23,3.70203719e-16,-6.6167569e-15,-3.27653432e-17,9.55388828e-19,-1.59194874e-23,-1.52275528e-22,-4.22446287e-15
0.00085106383,0.88228556,8.25702562,-34543.019,300,4.00354064,0.181818182,9.64896768e-17,-2.7583112e-22,5.52253639e-16,1.19442458e-13,-3.91558921e-16,-3.43874101e-23,-1.19500022e-16,-1.01492693e-15,1.40804068e-15,-3.30789782e-19,5.35158002e-16,-2.52069606e-15,-2.24921267e-15,1.7131267e-15,-4.04828929e-16,-2.65829239e-16,7.20620796e-16,-3.50437885e-16,2.49816206e-15,-3.96167737e-15,-4.27916003e-23,4.826571e-16,1.1071094e-19,-1.67979111e-16,-1.2257136e-13,7.08500037e-18,-1.38012229e-15,-4.10229658e-16,9.17490874e-16,-1.08326685e-16,-1.19327702e-15,2.41191879e-17,-5.4100305e-16,-1.31884234e-15,3.97507776e-17,8.90492382e-19,8.55476174e-16,-8.93689154e-17,6.34138143e-17,-7.70404687e-17,-1.97291508e-18,8.54248313e-16,9.09381227e-17,-1.94793788e-15,2.50744289e-17,-1.3145063e-15,-8.77017779e-19,-1.03263689e-21,7.04944476e-16,-3.30910698e-19,9.07737127e-16,-2.96682822e-18,-1.68282729e-20,1.41260776e-19,-5.45786072e-16,2.87174505e-16,6.93877465e-17,-1.06186133e-15,1.66215542e-17,-2.15193063e-16,5.03244891e-20,-3.81559868e-19,0.818181818,-3.03991221e-22,1.12789668e-23,6.00947479e-16,9.82762073e-18,1.22604508e-13,1.33686327e-16,-4.24546273e-19,1.88280495e-16,-1.71851807e-40,-1.00207186e-15,4.07155162e-15,-6.33027649e-19,-4.73173626e-18,3.61184685e-16,-2.21794855e-17,9.12932388e-17,1.32064241e-16,2.48947174e-17,1.49659529e-18,1.3958515e-18,-3.40209726e-16,4.68737696e-16,2.2705573e-23,7.05398127e-17,6.89510918e-28,-1.66212778e-16,-7.27253039e-20,-5.49643539e-19,-4.90561408e-20,3.19148463e-22,3.60107011e-16,3.11612014e-24,1.82354464e-23,-1.63203531e-16,1.2153211e-13,5.34062527e-15,9.63549536e-16,-5.39494296e-15,1.87715216e-15,-1.26952342e-26,-4.80406684e-16,1.41194253e-17,8.58580001e-16,7.35006786e-15,1.3471925e-15,-5.18741397e-23,3.70203651e-16,-6.61817506e-15,-3.27653432e-17,9.55388828e-19,-1.56738336e-23,-1.51481735e-22,-4.22446263e-15
0.00127659574,0.87350149,12.3855384,-34543.019,300,4.00354064,0.181818182,9.64896765e-17,3.20917572e-24,5.37148772e-16,1.18004191e-13,-3.39573e-17,-2.05585048e-26,-1.34605507e-16,-1.01492736e-15,1.43808166e-15,-3.30809355e-19,7.60002699e-14,-2.52157099e-15,-2.24919944e-15,1.7131267e-15,-7.26003695e-14,-3.58748978e-15,7.20620806e-16,-3.50438041e-16,2.49816192e-15,-3.96167672e-15,-8.45990688e-23,4.86627426e-16,1.10930771e-19,-1.6797911e-16,-4.53854072e-14,7.04259092e-18,-1.38210079e-15,-4.10603291e-16,9.21447824e-16,-1.0818945e-16,-1.19313932e-15,2.41191859e-17,-5.41003047e-16,-1.32130641e-15,3.98880475e-17,8.90492382e-19,8.55476191e-16,-8.93689124e-17,6.34138285e-17,-7.70404729e-17,-1.9729144e-18,8.54248318e-16,9.09381215e-17,-1.94793765e-15,2.4905207e-17,-1.3145063e-15,-8.77017774e-19,-3.08869641e-22,7.04944466e-16,-3.30910698e-19,9.07737129e-16,-3.42043503e-18,-1.7161347e-20,1.41260341e-19,-5.45786072e-16,2.87174505e-16,6.93877373e-17,-1.06186131e-15,1.66215541e-17,-2.15193059e-16,5.03341929e-20,-3.81559868e-19,0.818181818,-6.97944976e-26,1.60172548e-21,6.00947482e-16,5.85542822e-18,4.54381935e-14,1.33686378e-16,-4.24546273e-19,1.88266888e-16,-1.72000168e-40,-1.00115462e-15,4.07155158e-15,-6.32984937e-19,-4.73173626e-18,3.61184684e-16,-2.21794855e-17,9.12932399e-17,1.32064233e-16,2.4620187e-17,1.49593022e-18,1.39740191e-18,-3.40209726e-16,4.6824998e-16,2.98460849e-23,7.05402493e-17,7.81423206e-28,-1.65589845e-16,-7.23769318e-20,-5.49643533e-19,-4.90561408e-20,3.1914846e-22,3.60107008e-16,3.79046201e-24,1.82354463e-23,-1.62718009e-16,1.16648748e-13,5.34062493e-15,9.63549473e-16,-5.39494288e-15,1.87715219e-15,-1.10111011e-27,-4.80406586e-16,1.41194241e-17,8.58579998e-16,7.35006786e-15,1.34719222e-15,-7.46547465e-23,3.70203489e-16,-6.61817536e-15,-3.27653477e-17,9.55388828e-19,-5.00464822e-23,-1.50344233e-22,-4.22446238e-15
0.00170212766,0.861203792,16.5140512,-34543.019,300,4.00354064,0.181818182,9.64896762e-17,1.87233216e-24,5.22246848e-16,1.17981994e-13,-5.48301986e-19,-7.23986268e-27,-1.49508881e-16,-1.01492752e-15,1.46771584e-15,-3.30831117e-19,7.72476301e-14,-2.52245672e-15,-2.24918603e-15,1.7131267e-15,-7.05748792e-14,-6.86161657e-15,7.20620817e-16,-3.50438217e-16,2.49816179e-15,-3.96167608e-15,-1.05712581e-22,4.89012872e-16,1.11153673e-19,-1.67979109e-16,-4.41377355e-14,6.99864362e-18,-1.3841043e-15,-4.109715e-16,9.25454803e-16,-1.08054057e-16,-1.19300119e-15,2.41191841e-17,-5.41003044e-16,-1.32380096e-15,4.00257246e-17,8.90492382e-19,8.55476208e-16,-8.93689096e-17,6.34138454e-17,-7.70404767e-17,-1.97291367e-18,8.5424873e-16,9.09381203e-17,-1.94793741e-15,2.4734213e-17,-1.3145063e-15,-8.77017769e-19,1.2715564e-21,7.04944457e-16,-3.30910698e-19,9.07737131e-16,-3.87877925e-18,-1.74975315e-20,1.41259901e-19,-5.45786072e-16,2.87174505e-16,6.93877282e-17,-1.0618613e-15,1.66215541e-17,-2.15193056e-16,5.03440393e-20,-3.81559868e-19,0.818181818,-8.70154142e-29,1.62802291e-21,6.00947485e-16,3.46884029e-18,4.41912111e-14,1.33686431e-16,-4.24546274e-19,1.88253073e-16,-1.71966352e-40,-1.00022508e-15,4.07155154e-15,-6.32943282e-19,-4.73173627e-18,3.61184683e-16,-2.21794855e-17,9.12932408e-17,1.32064225e-16,2.43448435e-17,1.4952449e-18,1.39820035e-18,-3.40209725e-16,4.67756699e-16,3.53039565e-23,7.05406921e-17,8.21590442e-28,-1.64960406e-16,-7.20252979e-20,-5.49643527e-19,-4.90561408e-20,3.19148457e-22,3.60107006e-16,4.14309958e-24,1.82354461e-23,-1.62227036e-16,1.13347482e-13,5.34062458e-15,9.63549408e-16,-5.39494281e-15,1.87715222e-15,-1.77849952e-29,-4.80406486e-16,1.41194231e-17,8.58579994e-16,7.35006787e-15,1.34719194e-15,-9.77929427e-23,3.70203329e-16,-6.61817533e-15,-3.27653524e-17,9.55388828e-19,-8.5498118e-23,-1.48844514e-22,-4.22446214e-15
0.00212765957,0.845392467,20.642564,-34543.019,300,4.00354064,0.181818182,9.64896759e-17,1.86416215e-24,5.07501178e-16,1.17997138e-13,-5.94305624e-23,-8.6782462e-27,-1.64256879e-16,-1.01492771e-15,1.49703587e-15,-3.30855272e-19,7.72478122e-14,-2.52335819e-15,-2.24917239e-15,1.7131267e-15,-6.73903612e-14,-1.00467328e-14,7.20620827e-16,-3.50438404e-16,2.49816166e-15,-3.96167549e-15,-1.152458e-22,4.90441469e-16,1.1138072e-19,-1.67979108e-16,-4.41367744e-14,6.95383113e-18,-1.38614194e-15,-4.1132969e-16,9.29530019e-16,-1.08058864e-16,-1.19286208e-15,2.41191825e-17,-5.41003041e-16,-1.32633729e-15,4.01643836e-17,8.90492382e-19,8.55476224e-16,-8.93689069e-17,6.34138646e-17,-7.70404801e-17,-1.9729129e-18,8.54291635e-16,9.09381192e-17,-1.94793715e-15,2.45606871e-17,-1.3145063e-15,-8.77017763e-19,3.75288748e-21,7.04944448e-16,-3.30910698e-19,9.07737133e-16,-4.34389679e-18,-1.78383016e-20,1.41259453e-19,-5.45786072e-16,2.87174505e-16,6.93877194e-17,-1.06186128e-15,1.66215541e-17,-2.15193052e-16,5.03540742e-20,-3.81559867e-19,0.818181818,-1.17691987e-30,1.62802688e-21,6.00947487e-16,2.03954149e-18,4.41906085e-14,1.33686485e-16,-4.24546274e-19,1.88238985e-16,-1.71925755e-40,-9.9927899e-16,4.0715515e-15,-6.32902544e-19,-4.73173628e-18,3.61184682e-16,-2.21794855e-17,9.12932417e-17,1.32064216e-16,2.40675381e-17,1.49453578e-18,1.39821714e-18,-3.40209725e-16,4.67255643e-16,3.95927946e-23,7.05411431e-17,8.39034886e-28,-1.64321666e-16,-7.16688574e-20,-5.4964352e-19,-4.90561408e-20,3.19148453e-22,3.60107003e-16,4.28546275e-24,1.82354459e-23,-1.61728416e-16,1.10160996e-13,5.34062422e-15,9.63549342e-16,-5.39494274e-15,1.87715225e-15,-2.03611496e-33,-4.80406385e-16,1.41194222e-17,8.5857999e-16,7.35006788e-15,1.34719165e-15,-1.20558392e-22,3.70203171e-16,-6.61817529e-15,-3.27653571e-17,9.55388828e-19,-1.21615827e-22,-1.46957092e-22,-4.22446189e-15
0.00255319149,0.826067513,24.7710768,-34543.019,300,4.00354064,0.181818182,9.64896756e-17,1.86081597e-24,4.9286663e-16,1.18170871e-13,-6.04388086e-25,-9.93444348e-27,-1.78894692e-16,-1.01492793e-15,1.52613124e-15,-3.30882085e-19,7.72478592e-14,-2.52427988e-15,-2.24915843e-15,1.71312669e-15,-6.42813368e-14,-1.31562436e-14,7.20620838e-16,-3.50438599e-16,2.49816155e-15,-3.96167495e-15,-1.18662057e-22,4.91292783e-16,1.11613051e-19,-1.67979107e-16,-4.41359214e-14,6.90792471e-18,-1.38822374e-15,-4.11679367e-16,9.3369357e-16,-1.16756125e-16,-1.19272136e-15,2.4119181e-17,-5.41003038e-16,-1.32892787e-15,4.03046374e-17,8.90492382e-19,8.55476239e-16,-8.93689045e-17,6.34138859e-17,-7.70404833e-17,-1.97291207e-18,8.58707433e-16,9.0938118e-17,-1.94793687e-15,2.43837967e-17,-1.3145063e-15,-8.77017758e-19,7.19749922e-21,7.0494444e-16,-3.30910698e-19,9.07737136e-16,-4.81801842e-18,-1.81852673e-20,1.41258995e-19,-5.45786072e-16,2.87174505e-16,6.93877109e-17,-1.06186126e-15,1.66215541e-17,-2.15193048e-16,5.03643486e-20,-3.81559867e-19,0.818181818,-1.15139527e-30,1.62802787e-21,6.0094749e-16,1.18779669e-18,4.41901057e-14,1.33686541e-16,-4.24546275e-19,1.88224552e-16,-1.7188404e-40,-9.9831163e-16,4.07155145e-15,-6.32862598e-19,-4.73173628e-18,3.61184681e-16,-2.21794855e-17,9.12932425e-17,1.32064208e-16,2.37870449e-17,1.49379878e-18,1.39740717e-18,-3.40209724e-16,4.66744381e-16,4.30729576e-23,7.05416045e-17,8.46544536e-28,-1.6367056e-16,-7.13059237e-20,-5.49643514e-19,-4.90561408e-20,3.1914845e-22,3.60107e-16,4.28916256e-24,1.82354458e-23,-1.61219737e-16,1.07050323e-13,5.34062385e-15,9.63549275e-16,-5.39494266e-15,1.87715228e-15,-1.96354535e-35,-4.80406281e-16,1.41194216e-17,8.58579986e-16,7.35006788e-15,1.34719135e-15,-1.43042845e-22,3.70203014e-16,-6.61817526e-15,-3.2765362e-17,9.55388828e-19,-1.58581958e-22,-1.44648174e-22,-4.22446163e-15
0.0029787234,0.803228932,28.8995897,-34543.019,300,4.00354064,0.181818182,9.64896753e-17,1.85721956e-24,4.78298896e-16,1.20122218e-13,1.15880417e-25,-1.11296999e-26,-1.93466714e-16,-1.01492819e-15,1.55508972e-15,-3.30911886e-19,7.72479058e-14,-2.52522689e-15,-2.24914407e-15,1.71312669e-15,-6.12351842e-14,-1.62029082e-14,7.20620849e-16,-3.504388e-16,2.49816145e-15,-3.96167444e-15,-1.18878769e-22,4.91796622e-16,1.11851963e-19,-1.67979106e-16,-4.41354109e-14,6.86066429e-18,-1.39036104e-15,-4.12021967e-16,9.37968131e-16,-1.26316566e-16,-1.19257836e-15,2.41191798e-17,-5.41003035e-16,-1.33158674e-15,4.04471562e-17,8.90492382e-19,8.55476254e-16,-8.93689023e-17,6.34139094e-17,-7.7040486e-17,-1.97291119e-18,8.63555477e-16,9.09381169e-17,-1.94793658e-15,2.42026086e-17,-1.31450629e-15,-8.77017752e-19,1.16895585e-20,7.04944433e-16,-3.30910697e-19,9.07737138e-16,-5.30364429e-18,-1.85402402e-20,1.41258523e-19,-5.45786072e-16,2.87174505e-16,6.93877025e-17,-1.06186125e-15,1.66215541e-17,-2.15193044e-16,5.03749203e-20,-3.81559867e-19,0.818181818,-1.15129761e-30,1.62802886e-21,6.00947493e-16,6.83692483e-19,4.41899382e-14,1.336866e-16,-4.24546275e-19,1.88209693e-16,-1.71841171e-40,-9.97317665e-16,4.07155141e-15,-6.32823324e-19,-4.73173629e-18,3.6118468e-16,-2.21794855e-17,9.12932433e-17,1.32064199e-16,2.3502024e-17,1.4930291e-18,1.39570704e-18,-3.40209724e-16,4.66220179e-16,4.60059784e-23,7.05420791e-17,8.49739911e-28,-1.63003655e-16,-7.0934613e-20,-5.49643508e-19,-4.90561408e-20,3.19148446e-22,3.60106997e-16,4.20011153e-24,1.82354456e-23,-1.60698287e-16,1.04002699e-13,5.34062346e-15,9.63549206e-16,-5.39494258e-15,1.87715231e-15,3.73060588e-36,-4.80406174e-16,1.41194211e-17,8.58579982e-16,7.35006789e-15,1.34719105e-15,-1.6534627e-22,3.70202858e-16,-6.61817523e-15,-3.2765367e-17,9.55388828e-19,-1.96603359e-22,-1.41873772e-22,-4.22446137e-15
0.00340425532,0.776876722,33.0281025,-34543.019,300,4.00354064,0.181818182,9.64896751e-17,1.85338799e-24,4.6375381e-16,1.41487604e-13,-6.36391099e-26,-1.23029374e-26,-2.0801721e-16,-1.01492848e-15,1.58399867e-15,-3.30945092e-19,7.72479545e-14,-2.5262051e-15,-2.24912922e-15,1.71312669e-15,-5.82395074e-14,-1.91991288e-14,7.20620861e-16,-3.50439006e-16,2.49816136e-15,-3.96167397e-15,-1.17446382e-22,4.92092164e-16,1.12098954e-19,-1.67979105e-16,-4.41351141e-14,6.81174803e-18,-1.39256691e-15,-4.12358883e-16,9.42379851e-16,-1.36851218e-16,-1.19243232e-15,2.41191787e-17,-5.41003032e-16,-1.33433012e-15,4.0592691e-17,8.90492382e-19,8.55476268e-16,-8.93689003e-17,6.34139356e-17,-7.70404883e-17,-1.97291024e-18,8.6889151e-16,9.09381158e-17,-1.94793626e-15,2.40160528e-17,-1.31450629e-15,-8.77017746e-19,1.73377933e-20,7.04944426e-16,-3.30910697e-19,9.0773714e-16,-5.80363967e-18,-1.89071615e-20,1.41258035e-19,-5.45786072e-16,2.87174505e-16,6.93876943e-17,-1.06186123e-15,1.66215541e-17,-2.1519304e-16,5.03858562e-20,-3.81559867e-19,0.818181818,-1.15132073e-30,1.62802988e-21,6.00947496e-16,3.87987336e-19,4.41899788e-14,1.33686663e-16,-4.24546276e-19,1.88194313e-16,-1.71796889e-40,-9.96290929e-16,4.07155136e-15,-6.32784613e-19,-4.7317363e-18,3.61184678e-16,-2.21794855e-17,9.1293244e-17,1.3206419e-16,2.32109741e-17,1.492221e-18,1.39303299e-18,-3.40209724e-16,4.656799e-16,4.98259163e-23,7.05425696e-17,8.51079252e-28,-1.62317017e-16,-7.05527731e-20,-5.49643502e-19,-4.90561408e-20,3.19148442e-22,3.60106995e-16,4.04749662e-24,1.82354455e-23,-1.60160956e-16,1.0100573e-13,5.34062305e-15,9.63549134e-16,-5.3949425e-15,1.87715234e-15,-2.08998695e-36,-4.80406064e-16,1.41194209e-17,8.58579977e-16,7.3500679e-15,1.34719073e-15,-1.87566863e-22,3.70202702e-16,-6.61817519e-15,-3.27653722e-17,9.55388828e-19,-2.35919629e-22,-1.38577015e-22,-4.2244611e-15
0.00382978723,0.747010885,37.1566153,-34543.019,300,4.00354064,0.181818182,9.64896763e-17,1.8493585e-24,4.49186466e-16,3.68444549e-13,2.75653757e-26,-1.34927247e-26,-2.22590954e-16,-1.01492863e-15,1.61294652e-15,-3.3098223e-19,7.7248005e-14,-2.52722132e-15,-2.24911378e-15,1.71312668e-15,-5.52819589e-14,-2.21572565e-14,7.20620874e-16,-3.50439219e-16,2.49816128e-15,-3.96167353e-15,-1.15181064e-22,4.92263587e-16,1.12355796e-19,-1.67979104e-16,-4.41349478e-14,6.76081828e-18,-1.39485677e-15,-4.12691503e-16,9.46959542e-16,-1.48499464e-16,-1.19228239e-15,2.41191779e-17,-5.4100303e-16,-1.33717705e-15,4.07421038e-17,8.90492382e-19,8.55476282e-16,-8.93688986e-17,6.34139645e-17,-7.70404902e-17,-1.97290921e-18,8.74785443e-16,9.09381148e-17,-1.94793592e-15,2.38228757e-17,-1.31450629e-15,-8.7701774e-19,2.40189722e-20,7.0494442e-16,-3.30910697e-19,9.07737142e-16,-6.32136195e-18,-1.92866619e-20,1.41257527e-19,-5.45786072e-16,2.87174505e-16,6.93876862e-17,-1.06186121e-15,1.6621554e-17,-2.15193036e-16,5.03972357e-20,-3.81559866e-19,0.818181818,-1.15130947e-30,1.62803095e-21,6.00947499e-16,2.16464147e-19,4.41901456e-14,1.33686728e-16,-4.24546277e-19,1.88178298e-16,-1.7175088e-40,-9.95224145e-16,4.0715513e-15,-6.32746361e-19,-4.73173631e-18,3.61184676e-16,-2.21794855e-17,9.12932446e-17,1.32064181e-16,2.29121717e-17,1.49136755e-18,1.38951452e-18,-3.40209723e-16,4.6511988e-16,5.28857871e-23,7.05430796e-17,8.51629771e-28,-1.61606035e-16,-7.01578891e-20,-5.49643496e-19,-4.90561408e-20,3.19148438e-22,3.60106992e-16,3.84950417e-24,1.82354453e-23,-1.5960409e-16,9.80470829e-14,5.34062262e-15,9.63549059e-16,-5.39494242e-15,1.87715238e-15,8.67184123e-37,-4.8040595e-16,1.41194208e-17,8.58579973e-16,7.3500679e-15,1.3471904e-15,-2.09756372e-22,3.70202545e-16,-6.61817516e-15,-3.27653776e-17,9.55388828e-19,-2.76814136e-22,-1.34684312e-22,-4.22446081e-15
