Position, Mixture Fraction for C, Mixture Fraction for Bilger
0.000000, 1.000000, 1.000000
0.000455, 0.999841, 0.999902
0.000909, 0.999193, 0.999373
0.001136, 0.998141, 0.998425
0.001364, 0.995580, 0.996026
0.001591, 0.989655, 0.990340
0.001705, 0.984119, 0.984955
0.001818, 0.975612, 0.976607
0.001932, 0.963008, 0.964144
0.001989, 0.954639, 0.955825
0.002045, 0.944657, 0.945866
0.002102, 0.932959, 0.934159
0.002159, 0.919489, 0.920640
0.002188, 0.911956, 0.913065
0.002216, 0.903934, 0.904989
0.002244, 0.895423, 0.896411
0.002273, 0.886422, 0.887330
0.002301, 0.876934, 0.877749
0.002330, 0.866957, 0.867665
0.002358, 0.856493, 0.857082
0.002386, 0.845543, 0.845998
0.002415, 0.834108, 0.834417
0.002443, 0.822189, 0.822339
0.002457, 0.815995, 0.816060
0.002472, 0.809677, 0.809654
0.002500, 0.796786, 0.796579
0.002528, 0.783422, 0.783019
0.002543, 0.776508, 0.776002
0.002557, 0.769476, 0.768863
0.002571, 0.762326, 0.761604
0.002585, 0.755060, 0.754226
0.002599, 0.747680, 0.746731
0.002614, 0.740186, 0.739121
0.002642, 0.724982, 0.723676
0.002670, 0.709357, 0.707800
0.002699, 0.693327, 0.691511
0.002727, 0.676912, 0.674830
0.002756, 0.660137, 0.657781
0.002784, 0.643026, 0.640389
0.002841, 0.608325, 0.605118
0.002898, 0.572666, 0.568875
0.002955, 0.536339, 0.531961
0.003011, 0.499674, 0.494713
0.003068, 0.463022, 0.457493
0.003097, 0.444689, 0.438883
0.003125, 0.426507, 0.420433
0.003153, 0.408526, 0.402192
0.003182, 0.390798, 0.384215
0.003196, 0.382021, 0.375318
0.003210, 0.373329, 0.366510
0.003224, 0.364730, 0.357799
0.003239, 0.356232, 0.349192
0.003253, 0.347842, 0.340698
0.003267, 0.339568, 0.332324
0.003281, 0.331419, 0.324081
0.003295, 0.323403, 0.315976
0.003310, 0.315529, 0.308018
0.003324, 0.307806, 0.300217
0.003338, 0.300241, 0.292581
0.003352, 0.292843, 0.285119
0.003366, 0.285621, 0.277839
0.003381, 0.278582, 0.270749
0.003395, 0.271733, 0.263858
0.003409, 0.265081, 0.257171
0.003423, 0.258631, 0.250694
0.003438, 0.252388, 0.244432
0.003452, 0.246355, 0.238389
0.003466, 0.240536, 0.232567
0.003473, 0.237701, 0.229734
0.003480, 0.234921, 0.226957
0.003494, 0.229528, 0.221578
0.003509, 0.224346, 0.216416
0.003523, 0.219369, 0.211468
0.003537, 0.214594, 0.206727
0.003551, 0.210011, 0.202185
0.003565, 0.205614, 0.197834
0.003580, 0.201392, 0.193664
0.003594, 0.197334, 0.189661
0.003608, 0.193429, 0.185816
0.003622, 0.189665, 0.182116
0.003636, 0.186031, 0.178547
0.003651, 0.182516, 0.175100
0.003665, 0.179110, 0.171762
0.003679, 0.175803, 0.168525
0.003693, 0.172587, 0.165379
0.003707, 0.169455, 0.162319
0.003722, 0.166403, 0.159338
0.003736, 0.163425, 0.156432
0.003750, 0.160520, 0.153597
0.003778, 0.154935, 0.148155
0.003807, 0.149613, 0.142975
0.003835, 0.144547, 0.138052
0.003864, 0.139732, 0.133382
0.003892, 0.135163, 0.128960
0.003920, 0.130831, 0.124777
0.003949, 0.126725, 0.120826
0.003977, 0.122832, 0.117093
0.004006, 0.119138, 0.113566
0.004034, 0.115627, 0.110230
0.004063, 0.112284, 0.107071
0.004091, 0.109094, 0.104076
0.004119, 0.106043, 0.101233
0.004148, 0.103117, 0.098529
0.004176, 0.100305, 0.095955
0.004205, 0.097597, 0.093501
0.004219, 0.096275, 0.092313
0.004233, 0.094975, 0.091153
0.004247, 0.093697, 0.090019
0.004261, 0.092440, 0.088912
0.004276, 0.091204, 0.087829
0.004290, 0.089987, 0.086772
0.004304, 0.088790, 0.085738
0.004318, 0.087611, 0.084728
0.004332, 0.086450, 0.083741
0.004347, 0.085308, 0.082776
0.004361, 0.084183, 0.081834
0.004375, 0.083076, 0.080913
0.004389, 0.081987, 0.080014
0.004403, 0.080915, 0.079135
0.004418, 0.079860, 0.078277
0.004432, 0.078823, 0.077438
0.004446, 0.077803, 0.076620
0.004460, 0.076800, 0.075820
0.004474, 0.075814, 0.075039
0.004482, 0.075328, 0.074655
0.004489, 0.074845, 0.074275
0.004496, 0.074366, 0.073900
0.004503, 0.073892, 0.073529
0.004510, 0.073421, 0.073162
0.004517, 0.072954, 0.072800
